ID,timestamp,item,corporation,location,supply(kg),price(원/kg)
TG_A_J_20190208,2019-02-08,TG,A,J,0.0,0.0
TG_A_J_20190209,2019-02-09,TG,A,J,2312.0,2795.0
TG_A_J_20190210,2019-02-10,TG,A,J,0.0,0.0
TG_A_J_20190211,2019-02-11,TG,A,J,5791.0,2612.0
TG_A_J_20190212,2019-02-12,TG,A,J,5000.0,1979.0
TG_A_J_20190213,2019-02-13,TG,A,J,5496.0,2022.0
TG_A_J_20190214,2019-02-14,TG,A,J,7219.0,2323.0
TG_A_J_20190215,2019-02-15,TG,A,J,9932.0,2522.0
TG_A_J_20190216,2019-02-16,TG,A,J,4525.0,1888.0
TG_A_J_20190217,2019-02-17,TG,A,J,0.0,0.0
TG_A_J_20190218,2019-02-18,TG,A,J,11360.0,2089.0
TG_A_J_20190219,2019-02-19,TG,A,J,6790.0,1581.0
TG_A_J_20190220,2019-02-20,TG,A,J,4890.0,2516.0
TG_A_J_20190221,2019-02-21,TG,A,J,1309.0,3730.0
TG_A_J_20190222,2019-02-22,TG,A,J,2547.0,3648.0
TG_A_J_20190223,2019-02-23,TG,A,J,4080.0,2310.0
TG_A_J_20190224,2019-02-24,TG,A,J,0.0,0.0
TG_A_J_20190225,2019-02-25,TG,A,J,6895.0,2998.0
TG_A_J_20190226,2019-02-26,TG,A,J,4057.0,2249.0
TG_A_J_20190227,2019-02-27,TG,A,J,3800.0,1672.0
TG_A_J_20190228,2019-02-28,TG,A,J,5540.0,3841.0
TG_A_J_20190301,2019-03-01,TG,A,J,1700.0,4307.0
TG_A_J_20190302,2019-03-02,TG,A,J,1967.0,4538.0
TG_A_J_20190303,2019-03-03,TG,A,J,0.0,0.0
TG_A_J_20190304,2019-03-04,TG,A,J,4891.0,3992.0
TG_A_J_20190305,2019-03-05,TG,A,J,1210.0,4055.0
TG_A_J_20190306,2019-03-06,TG,A,J,3650.0,4278.0
TG_A_J_20190307,2019-03-07,TG,A,J,2295.0,4165.0
TG_A_J_20190308,2019-03-08,TG,A,J,3570.0,3690.0
TG_A_J_20190309,2019-03-09,TG,A,J,550.0,4838.0
TG_A_J_20190310,2019-03-10,TG,A,J,0.0,0.0
TG_A_J_20190311,2019-03-11,TG,A,J,2165.0,4217.0
TG_A_J_20190312,2019-03-12,TG,A,J,1650.0,3904.0
TG_A_J_20190313,2019-03-13,TG,A,J,2850.0,3686.0
TG_A_J_20190314,2019-03-14,TG,A,J,3052.0,3552.0
TG_A_J_20190315,2019-03-15,TG,A,J,5970.0,3573.0
TG_A_J_20190316,2019-03-16,TG,A,J,5870.0,3541.0
TG_A_J_20190317,2019-03-17,TG,A,J,0.0,0.0
TG_A_J_20190318,2019-03-18,TG,A,J,3370.0,3530.0
TG_A_J_20190319,2019-03-19,TG,A,J,1435.0,3372.0
TG_A_J_20190320,2019-03-20,TG,A,J,2690.0,3609.0
TG_A_J_20190321,2019-03-21,TG,A,J,665.0,3961.0
TG_A_J_20190322,2019-03-22,TG,A,J,207.0,4768.0
TG_A_J_20190323,2019-03-23,TG,A,J,931.0,5408.0
TG_A_J_20190324,2019-03-24,TG,A,J,0.0,0.0
TG_A_J_20190325,2019-03-25,TG,A,J,950.0,5265.0
TG_A_J_20190326,2019-03-26,TG,A,J,2090.0,3443.0
TG_A_J_20190327,2019-03-27,TG,A,J,2450.0,3650.0
TG_A_J_20190328,2019-03-28,TG,A,J,242.0,6215.0
TG_A_J_20190329,2019-03-29,TG,A,J,0.0,0.0
TG_A_J_20190330,2019-03-30,TG,A,J,716.0,4774.0
TG_A_J_20190331,2019-03-31,TG,A,J,0.0,0.0
TG_A_J_20190401,2019-04-01,TG,A,J,120.0,8733.0
TG_A_J_20190402,2019-04-02,TG,A,J,1310.0,3876.0
TG_A_J_20190403,2019-04-03,TG,A,J,930.0,2533.0
TG_A_J_20190404,2019-04-04,TG,A,J,0.0,0.0
TG_A_J_20190405,2019-04-05,TG,A,J,0.0,0.0
TG_A_J_20190406,2019-04-06,TG,A,J,0.0,0.0
TG_A_J_20190407,2019-04-07,TG,A,J,0.0,0.0
TG_A_J_20190408,2019-04-08,TG,A,J,0.0,0.0
TG_A_J_20190409,2019-04-09,TG,A,J,0.0,0.0
TG_A_J_20190410,2019-04-10,TG,A,J,0.0,0.0
TG_A_J_20190411,2019-04-11,TG,A,J,369.0,6667.0
TG_A_J_20190412,2019-04-12,TG,A,J,1393.0,5312.0
TG_A_J_20190413,2019-04-13,TG,A,J,69.0,6667.0
TG_A_J_20190414,2019-04-14,TG,A,J,0.0,0.0
TG_A_J_20190415,2019-04-15,TG,A,J,0.0,0.0
TG_A_J_20190416,2019-04-16,TG,A,J,0.0,0.0
TG_A_J_20190417,2019-04-17,TG,A,J,0.0,0.0
TG_A_J_20190418,2019-04-18,TG,A,J,0.0,0.0
TG_A_J_20190419,2019-04-19,TG,A,J,576.0,2917.0
TG_A_J_20190420,2019-04-20,TG,A,J,0.0,0.0
TG_A_J_20190421,2019-04-21,TG,A,J,0.0,0.0
TG_A_J_20190422,2019-04-22,TG,A,J,750.0,4619.0
TG_A_J_20190423,2019-04-23,TG,A,J,380.0,3926.0
TG_A_J_20190424,2019-04-24,TG,A,J,770.0,2525.0
TG_A_J_20190425,2019-04-25,TG,A,J,0.0,0.0
TG_A_J_20190426,2019-04-26,TG,A,J,0.0,0.0
TG_A_J_20190427,2019-04-27,TG,A,J,0.0,0.0
TG_A_J_20190428,2019-04-28,TG,A,J,0.0,0.0
TG_A_J_20190429,2019-04-29,TG,A,J,0.0,0.0
TG_A_J_20190430,2019-04-30,TG,A,J,0.0,0.0
TG_A_J_20190501,2019-05-01,TG,A,J,1070.0,3837.0
TG_A_J_20190502,2019-05-02,TG,A,J,0.0,0.0
TG_A_J_20190503,2019-05-03,TG,A,J,0.0,0.0
TG_A_J_20190504,2019-05-04,TG,A,J,0.0,0.0
TG_A_J_20190505,2019-05-05,TG,A,J,0.0,0.0
TG_A_J_20190506,2019-05-06,TG,A,J,1600.0,3932.0
TG_A_J_20190507,2019-05-07,TG,A,J,0.0,0.0
TG_A_J_20190508,2019-05-08,TG,A,J,0.0,0.0
TG_A_J_20190509,2019-05-09,TG,A,J,252.0,8841.0
TG_A_J_20190510,2019-05-10,TG,A,J,2083.0,5662.0
TG_A_J_20190511,2019-05-11,TG,A,J,658.0,5181.0
TG_A_J_20190512,2019-05-12,TG,A,J,0.0,0.0
TG_A_J_20190513,2019-05-13,TG,A,J,0.0,0.0
TG_A_J_20190514,2019-05-14,TG,A,J,843.0,6300.0
TG_A_J_20190515,2019-05-15,TG,A,J,206.0,8587.0
TG_A_J_20190516,2019-05-16,TG,A,J,0.0,0.0
TG_A_J_20190517,2019-05-17,TG,A,J,382.0,8809.0
TG_A_J_20190518,2019-05-18,TG,A,J,0.0,0.0
TG_A_J_20190519,2019-05-19,TG,A,J,0.0,0.0
TG_A_J_20190520,2019-05-20,TG,A,J,0.0,0.0
TG_A_J_20190521,2019-05-21,TG,A,J,0.0,0.0
TG_A_J_20190522,2019-05-22,TG,A,J,0.0,0.0
TG_A_J_20190523,2019-05-23,TG,A,J,0.0,0.0
TG_A_J_20190524,2019-05-24,TG,A,J,0.0,0.0
TG_A_J_20190525,2019-05-25,TG,A,J,0.0,0.0
TG_A_J_20190526,2019-05-26,TG,A,J,0.0,0.0
TG_A_J_20190527,2019-05-27,TG,A,J,0.0,0.0
TG_A_J_20190528,2019-05-28,TG,A,J,0.0,0.0
TG_A_J_20190529,2019-05-29,TG,A,J,0.0,0.0
TG_A_J_20190530,2019-05-30,TG,A,J,0.0,0.0
TG_A_J_20190531,2019-05-31,TG,A,J,0.0,0.0
TG_A_J_20190601,2019-06-01,TG,A,J,315.0,7479.0
TG_A_J_20190602,2019-06-02,TG,A,J,0.0,0.0
TG_A_J_20190603,2019-06-03,TG,A,J,308.0,6953.0
TG_A_J_20190604,2019-06-04,TG,A,J,0.0,0.0
TG_A_J_20190605,2019-06-05,TG,A,J,0.0,0.0
TG_A_J_20190606,2019-06-06,TG,A,J,0.0,0.0
TG_A_J_20190607,2019-06-07,TG,A,J,0.0,0.0
TG_A_J_20190608,2019-06-08,TG,A,J,0.0,0.0
TG_A_J_20190609,2019-06-09,TG,A,J,0.0,0.0
TG_A_J_20190610,2019-06-10,TG,A,J,0.0,0.0
TG_A_J_20190611,2019-06-11,TG,A,J,0.0,0.0
TG_A_J_20190612,2019-06-12,TG,A,J,0.0,0.0
TG_A_J_20190613,2019-06-13,TG,A,J,0.0,0.0
TG_A_J_20190614,2019-06-14,TG,A,J,0.0,0.0
TG_A_J_20190615,2019-06-15,TG,A,J,0.0,0.0
TG_A_J_20190616,2019-06-16,TG,A,J,0.0,0.0
TG_A_J_20190617,2019-06-17,TG,A,J,0.0,0.0
TG_A_J_20190618,2019-06-18,TG,A,J,0.0,0.0
TG_A_J_20190619,2019-06-19,TG,A,J,0.0,0.0
TG_A_J_20190620,2019-06-20,TG,A,J,0.0,0.0
TG_A_J_20190621,2019-06-21,TG,A,J,498.0,6292.0
TG_A_J_20190622,2019-06-22,TG,A,J,0.0,0.0
TG_A_J_20190623,2019-06-23,TG,A,J,0.0,0.0
TG_A_J_20190624,2019-06-24,TG,A,J,0.0,0.0
TG_A_J_20190625,2019-06-25,TG,A,J,0.0,0.0
TG_A_J_20190626,2019-06-26,TG,A,J,0.0,0.0
TG_A_J_20190627,2019-06-27,TG,A,J,720.0,5580.0
TG_A_J_20190628,2019-06-28,TG,A,J,0.0,0.0
TG_A_J_20190629,2019-06-29,TG,A,J,0.0,0.0
TG_A_J_20190630,2019-06-30,TG,A,J,0.0,0.0
TG_A_J_20190701,2019-07-01,TG,A,J,0.0,0.0
TG_A_J_20190702,2019-07-02,TG,A,J,0.0,0.0
TG_A_J_20190703,2019-07-03,TG,A,J,0.0,0.0
TG_A_J_20190704,2019-07-04,TG,A,J,0.0,0.0
TG_A_J_20190705,2019-07-05,TG,A,J,0.0,0.0
TG_A_J_20190706,2019-07-06,TG,A,J,552.0,5261.0
TG_A_J_20190707,2019-07-07,TG,A,J,0.0,0.0
TG_A_J_20190708,2019-07-08,TG,A,J,900.0,5424.0
TG_A_J_20190709,2019-07-09,TG,A,J,0.0,0.0
TG_A_J_20190710,2019-07-10,TG,A,J,0.0,0.0
TG_A_J_20190711,2019-07-11,TG,A,J,0.0,0.0
TG_A_J_20190712,2019-07-12,TG,A,J,0.0,0.0
TG_A_J_20190713,2019-07-13,TG,A,J,0.0,0.0
TG_A_J_20190714,2019-07-14,TG,A,J,0.0,0.0
TG_A_J_20190715,2019-07-15,TG,A,J,0.0,0.0
TG_A_J_20190716,2019-07-16,TG,A,J,0.0,0.0
TG_A_J_20190717,2019-07-17,TG,A,J,660.0,4735.0
TG_A_J_20190718,2019-07-18,TG,A,J,360.0,4133.0
TG_A_J_20190719,2019-07-19,TG,A,J,0.0,0.0
TG_A_J_20190720,2019-07-20,TG,A,J,0.0,0.0
TG_A_J_20190721,2019-07-21,TG,A,J,0.0,0.0
TG_A_J_20190722,2019-07-22,TG,A,J,135.0,6163.0
TG_A_J_20190723,2019-07-23,TG,A,J,141.0,5745.0
TG_A_J_20190724,2019-07-24,TG,A,J,0.0,0.0
TG_A_J_20190725,2019-07-25,TG,A,J,0.0,0.0
TG_A_J_20190726,2019-07-26,TG,A,J,0.0,0.0
TG_A_J_20190727,2019-07-27,TG,A,J,3190.2,5897.0
TG_A_J_20190728,2019-07-28,TG,A,J,0.0,0.0
TG_A_J_20190729,2019-07-29,TG,A,J,0.0,0.0
TG_A_J_20190730,2019-07-30,TG,A,J,0.0,0.0
TG_A_J_20190731,2019-07-31,TG,A,J,0.0,0.0
TG_A_J_20190801,2019-08-01,TG,A,J,0.0,0.0
TG_A_J_20190802,2019-08-02,TG,A,J,340.0,4885.0
TG_A_J_20190803,2019-08-03,TG,A,J,0.0,0.0
TG_A_J_20190804,2019-08-04,TG,A,J,0.0,0.0
TG_A_J_20190805,2019-08-05,TG,A,J,339.0,4667.0
TG_A_J_20190806,2019-08-06,TG,A,J,0.0,0.0
TG_A_J_20190807,2019-08-07,TG,A,J,0.0,0.0
TG_A_J_20190808,2019-08-08,TG,A,J,735.0,5672.0
TG_A_J_20190809,2019-08-09,TG,A,J,0.0,0.0
TG_A_J_20190810,2019-08-10,TG,A,J,171.0,2468.0
TG_A_J_20190811,2019-08-11,TG,A,J,0.0,0.0
TG_A_J_20190812,2019-08-12,TG,A,J,0.0,0.0
TG_A_J_20190813,2019-08-13,TG,A,J,2538.7,4824.0
TG_A_J_20190814,2019-08-14,TG,A,J,0.0,0.0
TG_A_J_20190815,2019-08-15,TG,A,J,531.0,3934.0
TG_A_J_20190816,2019-08-16,TG,A,J,0.0,0.0
TG_A_J_20190817,2019-08-17,TG,A,J,0.0,0.0
TG_A_J_20190818,2019-08-18,TG,A,J,0.0,0.0
TG_A_J_20190819,2019-08-19,TG,A,J,0.0,0.0
TG_A_J_20190820,2019-08-20,TG,A,J,0.0,0.0
TG_A_J_20190821,2019-08-21,TG,A,J,0.0,0.0
TG_A_J_20190822,2019-08-22,TG,A,J,0.0,0.0
TG_A_J_20190823,2019-08-23,TG,A,J,0.0,0.0
TG_A_J_20190824,2019-08-24,TG,A,J,0.0,0.0
TG_A_J_20190825,2019-08-25,TG,A,J,0.0,0.0
TG_A_J_20190826,2019-08-26,TG,A,J,0.0,0.0
TG_A_J_20190827,2019-08-27,TG,A,J,0.0,0.0
TG_A_J_20190828,2019-08-28,TG,A,J,1111.0,3391.0
TG_A_J_20190829,2019-08-29,TG,A,J,0.0,0.0
TG_A_J_20190830,2019-08-30,TG,A,J,192.0,4438.0
TG_A_J_20190831,2019-08-31,TG,A,J,420.0,4319.0
TG_A_J_20190901,2019-09-01,TG,A,J,0.0,0.0
TG_A_J_20190902,2019-09-02,TG,A,J,1599.0,5728.0
TG_A_J_20190903,2019-09-03,TG,A,J,446.0,2652.0
TG_A_J_20190904,2019-09-04,TG,A,J,132.0,5545.0
TG_A_J_20190905,2019-09-05,TG,A,J,1038.0,3834.0
TG_A_J_20190906,2019-09-06,TG,A,J,0.0,0.0
TG_A_J_20190907,2019-09-07,TG,A,J,598.0,3325.0
TG_A_J_20190908,2019-09-08,TG,A,J,0.0,0.0
TG_A_J_20190909,2019-09-09,TG,A,J,300.0,5947.0
TG_A_J_20190910,2019-09-10,TG,A,J,1344.0,3580.0
TG_A_J_20190911,2019-09-11,TG,A,J,276.0,3667.0
TG_A_J_20190912,2019-09-12,TG,A,J,57.6,3750.0
TG_A_J_20190913,2019-09-13,TG,A,J,0.0,0.0
TG_A_J_20190914,2019-09-14,TG,A,J,0.0,0.0
TG_A_J_20190915,2019-09-15,TG,A,J,0.0,0.0
TG_A_J_20190916,2019-09-16,TG,A,J,350.0,3400.0
TG_A_J_20190917,2019-09-17,TG,A,J,100.0,1900.0
TG_A_J_20190918,2019-09-18,TG,A,J,0.0,0.0
TG_A_J_20190919,2019-09-19,TG,A,J,0.0,0.0
TG_A_J_20190920,2019-09-20,TG,A,J,0.0,0.0
TG_A_J_20190921,2019-09-21,TG,A,J,200.0,2800.0
TG_A_J_20190922,2019-09-22,TG,A,J,0.0,0.0
TG_A_J_20190923,2019-09-23,TG,A,J,0.0,0.0
TG_A_J_20190924,2019-09-24,TG,A,J,200.0,2800.0
TG_A_J_20190925,2019-09-25,TG,A,J,200.0,1900.0
TG_A_J_20190926,2019-09-26,TG,A,J,0.0,0.0
TG_A_J_20190927,2019-09-27,TG,A,J,0.0,0.0
TG_A_J_20190928,2019-09-28,TG,A,J,0.0,0.0
TG_A_J_20190929,2019-09-29,TG,A,J,0.0,0.0
TG_A_J_20190930,2019-09-30,TG,A,J,2406.0,2164.0
TG_A_J_20191001,2019-10-01,TG,A,J,1800.0,1719.0
TG_A_J_20191002,2019-10-02,TG,A,J,2270.0,1439.0
TG_A_J_20191003,2019-10-03,TG,A,J,4360.0,1137.0
TG_A_J_20191004,2019-10-04,TG,A,J,0.0,0.0
TG_A_J_20191005,2019-10-05,TG,A,J,1700.0,1585.0
TG_A_J_20191006,2019-10-06,TG,A,J,0.0,0.0
TG_A_J_20191007,2019-10-07,TG,A,J,9640.0,1419.0
TG_A_J_20191008,2019-10-08,TG,A,J,4790.0,1471.0
TG_A_J_20191009,2019-10-09,TG,A,J,8265.0,1654.0
TG_A_J_20191010,2019-10-10,TG,A,J,1915.0,1428.0
TG_A_J_20191011,2019-10-11,TG,A,J,9475.0,1514.0
TG_A_J_20191012,2019-10-12,TG,A,J,15040.0,1930.0
TG_A_J_20191013,2019-10-13,TG,A,J,0.0,0.0
TG_A_J_20191014,2019-10-14,TG,A,J,29160.0,1208.0
TG_A_J_20191015,2019-10-15,TG,A,J,22570.0,1137.0
TG_A_J_20191016,2019-10-16,TG,A,J,16964.0,947.0
TG_A_J_20191017,2019-10-17,TG,A,J,17945.0,1167.0
TG_A_J_20191018,2019-10-18,TG,A,J,6980.0,1568.0
TG_A_J_20191019,2019-10-19,TG,A,J,12485.0,1530.0
TG_A_J_20191020,2019-10-20,TG,A,J,0.0,0.0
TG_A_J_20191021,2019-10-21,TG,A,J,16025.0,1349.0
TG_A_J_20191022,2019-10-22,TG,A,J,11310.0,1412.0
TG_A_J_20191023,2019-10-23,TG,A,J,13300.0,1011.0
TG_A_J_20191024,2019-10-24,TG,A,J,23310.0,1607.0
TG_A_J_20191025,2019-10-25,TG,A,J,20355.0,948.0
TG_A_J_20191026,2019-10-26,TG,A,J,10693.0,952.0
TG_A_J_20191027,2019-10-27,TG,A,J,0.0,0.0
TG_A_J_20191028,2019-10-28,TG,A,J,21343.0,1054.0
TG_A_J_20191029,2019-10-29,TG,A,J,17460.0,792.0
TG_A_J_20191030,2019-10-30,TG,A,J,17141.0,853.0
TG_A_J_20191031,2019-10-31,TG,A,J,14600.0,644.0
TG_A_J_20191101,2019-11-01,TG,A,J,26440.0,866.0
TG_A_J_20191102,2019-11-02,TG,A,J,18825.0,859.0
TG_A_J_20191103,2019-11-03,TG,A,J,0.0,0.0
TG_A_J_20191104,2019-11-04,TG,A,J,15318.0,780.0
TG_A_J_20191105,2019-11-05,TG,A,J,19985.0,859.0
TG_A_J_20191106,2019-11-06,TG,A,J,11968.0,797.0
TG_A_J_20191107,2019-11-07,TG,A,J,11530.0,934.0
TG_A_J_20191108,2019-11-08,TG,A,J,20500.0,897.0
TG_A_J_20191109,2019-11-09,TG,A,J,8090.0,1143.0
TG_A_J_20191110,2019-11-10,TG,A,J,0.0,0.0
TG_A_J_20191111,2019-11-11,TG,A,J,25938.0,1036.0
TG_A_J_20191112,2019-11-12,TG,A,J,13783.0,943.0
TG_A_J_20191113,2019-11-13,TG,A,J,23410.0,927.0
TG_A_J_20191114,2019-11-14,TG,A,J,29865.0,969.0
TG_A_J_20191115,2019-11-15,TG,A,J,22600.0,897.0
TG_A_J_20191116,2019-11-16,TG,A,J,16150.0,876.0
TG_A_J_20191117,2019-11-17,TG,A,J,0.0,0.0
TG_A_J_20191118,2019-11-18,TG,A,J,16584.0,848.0
TG_A_J_20191119,2019-11-19,TG,A,J,12745.0,602.0
TG_A_J_20191120,2019-11-20,TG,A,J,9600.0,878.0
TG_A_J_20191121,2019-11-21,TG,A,J,13965.0,1202.0
TG_A_J_20191122,2019-11-22,TG,A,J,10305.0,1267.0
TG_A_J_20191123,2019-11-23,TG,A,J,11281.0,1451.0
TG_A_J_20191124,2019-11-24,TG,A,J,0.0,0.0
TG_A_J_20191125,2019-11-25,TG,A,J,16544.0,1143.0
TG_A_J_20191126,2019-11-26,TG,A,J,17345.0,843.0
TG_A_J_20191127,2019-11-27,TG,A,J,17100.0,898.0
TG_A_J_20191128,2019-11-28,TG,A,J,15290.0,911.0
TG_A_J_20191129,2019-11-29,TG,A,J,5571.0,1389.0
TG_A_J_20191130,2019-11-30,TG,A,J,3350.0,1483.0
TG_A_J_20191201,2019-12-01,TG,A,J,0.0,0.0
TG_A_J_20191202,2019-12-02,TG,A,J,16329.0,1252.0
TG_A_J_20191203,2019-12-03,TG,A,J,7610.0,1110.0
TG_A_J_20191204,2019-12-04,TG,A,J,20210.0,1153.0
TG_A_J_20191205,2019-12-05,TG,A,J,21502.0,1100.0
TG_A_J_20191206,2019-12-06,TG,A,J,19540.0,869.0
TG_A_J_20191207,2019-12-07,TG,A,J,23467.0,765.0
TG_A_J_20191208,2019-12-08,TG,A,J,0.0,0.0
TG_A_J_20191209,2019-12-09,TG,A,J,16980.0,1100.0
TG_A_J_20191210,2019-12-10,TG,A,J,12750.0,754.0
TG_A_J_20191211,2019-12-11,TG,A,J,15054.0,789.0
TG_A_J_20191212,2019-12-12,TG,A,J,78287.0,1135.0
TG_A_J_20191213,2019-12-13,TG,A,J,68517.0,1216.0
TG_A_J_20191214,2019-12-14,TG,A,J,16205.0,838.0
TG_A_J_20191215,2019-12-15,TG,A,J,0.0,0.0
TG_A_J_20191216,2019-12-16,TG,A,J,20223.0,1147.0
TG_A_J_20191217,2019-12-17,TG,A,J,11280.0,723.0
TG_A_J_20191218,2019-12-18,TG,A,J,19940.0,903.0
TG_A_J_20191219,2019-12-19,TG,A,J,12610.0,928.0
TG_A_J_20191220,2019-12-20,TG,A,J,15472.0,796.0
TG_A_J_20191221,2019-12-21,TG,A,J,18081.0,1029.0
TG_A_J_20191222,2019-12-22,TG,A,J,0.0,0.0
TG_A_J_20191223,2019-12-23,TG,A,J,20077.0,870.0
TG_A_J_20191224,2019-12-24,TG,A,J,15662.0,1279.0
TG_A_J_20191225,2019-12-25,TG,A,J,13070.0,803.0
TG_A_J_20191226,2019-12-26,TG,A,J,9610.0,908.0
TG_A_J_20191227,2019-12-27,TG,A,J,12205.0,770.0
TG_A_J_20191228,2019-12-28,TG,A,J,15340.0,787.0
TG_A_J_20191229,2019-12-29,TG,A,J,0.0,0.0
TG_A_J_20191230,2019-12-30,TG,A,J,14140.0,1047.0
TG_A_J_20191231,2019-12-31,TG,A,J,7370.0,923.0
TG_A_J_20200101,2020-01-01,TG,A,J,0.0,0.0
TG_A_J_20200102,2020-01-02,TG,A,J,0.0,0.0
TG_A_J_20200103,2020-01-03,TG,A,J,34570.0,992.0
TG_A_J_20200104,2020-01-04,TG,A,J,8226.0,1043.0
TG_A_J_20200105,2020-01-05,TG,A,J,0.0,0.0
TG_A_J_20200106,2020-01-06,TG,A,J,14630.0,1070.0
TG_A_J_20200107,2020-01-07,TG,A,J,8960.0,864.0
TG_A_J_20200108,2020-01-08,TG,A,J,11070.0,800.0
TG_A_J_20200109,2020-01-09,TG,A,J,11590.0,785.0
TG_A_J_20200110,2020-01-10,TG,A,J,8830.0,938.0
TG_A_J_20200111,2020-01-11,TG,A,J,10680.0,928.0
TG_A_J_20200112,2020-01-12,TG,A,J,0.0,0.0
TG_A_J_20200113,2020-01-13,TG,A,J,21622.0,2662.0
TG_A_J_20200114,2020-01-14,TG,A,J,10931.0,2044.0
TG_A_J_20200115,2020-01-15,TG,A,J,8290.0,2740.0
TG_A_J_20200116,2020-01-16,TG,A,J,8690.0,2125.0
TG_A_J_20200117,2020-01-17,TG,A,J,16967.0,1754.0
TG_A_J_20200118,2020-01-18,TG,A,J,8520.0,2109.0
TG_A_J_20200119,2020-01-19,TG,A,J,0.0,0.0
TG_A_J_20200120,2020-01-20,TG,A,J,8490.0,2433.0
TG_A_J_20200121,2020-01-21,TG,A,J,3796.0,2022.0
TG_A_J_20200122,2020-01-22,TG,A,J,12830.0,1602.0
TG_A_J_20200123,2020-01-23,TG,A,J,16955.0,1050.0
TG_A_J_20200124,2020-01-24,TG,A,J,1620.0,5685.0
TG_A_J_20200125,2020-01-25,TG,A,J,0.0,0.0
TG_A_J_20200126,2020-01-26,TG,A,J,0.0,0.0
TG_A_J_20200127,2020-01-27,TG,A,J,0.0,0.0
TG_A_J_20200128,2020-01-28,TG,A,J,1000.0,1650.0
TG_A_J_20200129,2020-01-29,TG,A,J,2084.0,5054.0
TG_A_J_20200130,2020-01-30,TG,A,J,3045.0,1177.0
TG_A_J_20200131,2020-01-31,TG,A,J,615.0,1449.0
TG_A_J_20200201,2020-02-01,TG,A,J,3170.0,1309.0
TG_A_J_20200202,2020-02-02,TG,A,J,0.0,0.0
TG_A_J_20200203,2020-02-03,TG,A,J,5040.0,756.0
TG_A_J_20200204,2020-02-04,TG,A,J,4300.0,748.0
TG_A_J_20200205,2020-02-05,TG,A,J,7060.0,727.0
TG_A_J_20200206,2020-02-06,TG,A,J,3760.0,873.0
TG_A_J_20200207,2020-02-07,TG,A,J,1500.0,778.0
TG_A_J_20200208,2020-02-08,TG,A,J,6130.0,1093.0
TG_A_J_20200209,2020-02-09,TG,A,J,0.0,0.0
TG_A_J_20200210,2020-02-10,TG,A,J,5510.0,1210.0
TG_A_J_20200211,2020-02-11,TG,A,J,3830.0,1248.0
TG_A_J_20200212,2020-02-12,TG,A,J,8180.0,1235.0
TG_A_J_20200213,2020-02-13,TG,A,J,6530.0,1374.0
TG_A_J_20200214,2020-02-14,TG,A,J,6430.0,854.0
TG_A_J_20200215,2020-02-15,TG,A,J,5310.0,1413.0
